UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:19.188 automation.py[79] main -> Starts, Current Cursor Position: (998, 428)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,1920,1080)[1920x1080]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: ConsoleWindowClass    AutomationId:     Rect: (813,381,1806,900)[993x519]    Name: C:\Users\CHENGUANGTAO\AppData\Local\Programs\Python\Python37\python.exe    Handle: 0xD105C(856156)    Depth: 1    ScrollPattern.HorizontalScrollPercent: 0.0    ScrollPattern.VerticalScrollPercent: 0.0    SupportedPattern: LegacyIAccessiblePattern ScrollPattern TransformPattern WindowPattern
        ControlType: ScrollBarControl    ClassName:     AutomationId: NonClientVerticalScrollBar    Rect: (1781,412,1798,892)[17x480]    Name: 垂直滚动条    Handle: 0x0(0)    Depth: 2    RangeValuePattern.Value: 0.0    SupportedPattern: LegacyIAccessiblePattern RangeValuePattern
            ControlType: ButtonControl    ClassName:     AutomationId: UpButton    Rect: (1781,412,1798,429)[17x17]    Name: 上一行    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ThumbControl    ClassName:     AutomationId: ScrollbarThumb    Rect: (1781,429,1798,437)[17x8]    Name: 位置    Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId: DownPageButton    Rect: (1781,437,1798,875)[17x438]    Name: 向下翻页    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId: DownButton    Rect: (1781,875,1798,892)[17x17]    Name: 下一行    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
        ControlType: TitleBarControl    ClassName:     AutomationId:     Rect: (837,384,1798,412)[961x28]    Name:     Handle: 0x0(0)    Depth: 2    ValuePattern.Value: C:\Users\CHENGUANGTAO\AppData\Local\Programs\Python\Python37\python.exe    SupportedPattern: LegacyIAccessiblePattern ValuePattern
            ControlType: MenuBarControl    ClassName:     AutomationId: MenuBar    Rect: (821,389,843,411)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: MenuItemControl    ClassName:     AutomationId:     Rect: (821,389,843,411)[22x22]    Name: 系统    Handle: 0x0(0)    Depth: 4    ExpandCollapsePattern.ExpandCollapseState: ExpandCollapseState.Collapsed    SupportedPattern: ExpandCollapsePattern InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1659,382,1706,412)[47x30]    Name: 最小化    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1706,382,1752,412)[46x30]    Name: 最大化    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1752,382,1799,412)[47x30]    Name: 关闭    Handle: 0x0(0)    Depth: 3    SupportedPattern: InvokePattern LegacyIAccessiblePattern
2021-07-30 15:40:20.337 automation.py[114] main -> Ends

UIAutomation 2.0.14 (Python 3.7.4, 64 bit)
2021-07-30 15:40:38.185 automation.py[79] main -> Starts, Current Cursor Position: (559, 199)
ControlType: PaneControl    ClassName: #32769    AutomationId:     Rect: (0,0,1920,1080)[1920x1080]    Name: 桌面 1    Handle: 0x10010(65552)    Depth: 0    SupportedPattern: LegacyIAccessiblePattern
    ControlType: WindowControl    ClassName: Qt5QWindowIcon    AutomationId:     Rect: (53,153,913,681)[860x528]    Name: EV录屏    Handle: 0x2D0BB6(2952118)    Depth: 1    SupportedPattern: LegacyIAccessiblePattern
        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,158,908,676)[850x518]    Name:     Handle: 0x0(0)    Depth: 2    SupportedPattern: LegacyIAccessiblePattern
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,158,908,222)[850x64]    Name:     Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: TextControl    ClassName:     AutomationId:     Rect: (74,180,144,200)[70x20]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (673,174,705,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (712,174,744,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (751,174,783,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (790,174,822,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (829,174,861,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (868,174,900,206)[32x32]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: InvokePattern LegacyIAccessiblePattern
            ControlType: CustomControl    ClassName:     AutomationId:     Rect: (58,228,908,676)[850x448]    Name:     Handle: 0x0(0)    Depth: 3    SupportedPattern: LegacyIAccessiblePattern
                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (178,228,908,595)[730x367]    Name:     Handle: 0x0(0)    Depth: 4    SupportedPattern: LegacyIAccessiblePattern
                    ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,228,908,595)[730x367]    Name:     Handle: 0x0(0)    Depth: 5    SupportedPattern: LegacyIAccessiblePattern
                        ControlType: CustomControl    ClassName:     AutomationId:     Rect: (178,228,908,595)[730x367]    Name:     Handle: 0x0(0)    Depth: 6    SupportedPattern: LegacyIAccessiblePattern
